filename,label,method,voice_model,source_file,f0_method,index_rate,protect,volume_envelope,hop_length,pitch,generated_at
common_voice_pt_19273358.wav,real,,,,,,,,,,
common_voice_pt_19273359.wav,real,,,,,,,,,,
common_voice_pt_19273360.wav,real,,,,,,,,,,
common_voice_pt_19273361.wav,real,,,,,,,,,,
common_voice_pt_19273362.wav,real,,,,,,,,,,
common_voice_pt_19275111.wav,real,,,,,,,,,,
common_voice_pt_19275112.wav,real,,,,,,,,,,
common_voice_pt_19275113.wav,real,,,,,,,,,,
common_voice_pt_19275114.wav,real,,,,,,,,,,
common_voice_pt_19275115.wav,real,,,,,,,,,,
common_voice_pt_19276292.wav,real,,,,,,,,,,
common_voice_pt_19276293.wav,real,,,,,,,,,,
common_voice_pt_19276294.wav,real,,,,,,,,,,
common_voice_pt_19276295.wav,real,,,,,,,,,,
common_voice_pt_19276296.wav,real,,,,,,,,,,
common_voice_pt_19276297.wav,real,,,,,,,,,,
common_voice_pt_19276298.wav,real,,,,,,,,,,
common_voice_pt_19276299.wav,real,,,,,,,,,,
common_voice_pt_19276300.wav,real,,,,,,,,,,
common_voice_pt_19276301.wav,real,,,,,,,,,,
common_voice_pt_19276313.wav,real,,,,,,,,,,
common_voice_pt_19276314.wav,real,,,,,,,,,,
common_voice_pt_19276315.wav,real,,,,,,,,,,
common_voice_pt_19276316.wav,real,,,,,,,,,,
common_voice_pt_19276317.wav,real,,,,,,,,,,
common_voice_pt_19277032.wav,real,,,,,,,,,,
common_voice_pt_19277033.wav,real,,,,,,,,,,
common_voice_pt_19277034.wav,real,,,,,,,,,,
common_voice_pt_19277035.wav,real,,,,,,,,,,
common_voice_pt_19277036.wav,real,,,,,,,,,,
common_voice_pt_19277037.wav,real,,,,,,,,,,
common_voice_pt_19277038.wav,real,,,,,,,,,,
common_voice_pt_19277039.wav,real,,,,,,,,,,
common_voice_pt_19277040.wav,real,,,,,,,,,,
common_voice_pt_19277041.wav,real,,,,,,,,,,
common_voice_pt_19277042.wav,real,,,,,,,,,,
common_voice_pt_19277043.wav,real,,,,,,,,,,
common_voice_pt_19277044.wav,real,,,,,,,,,,
common_voice_pt_19277045.wav,real,,,,,,,,,,
common_voice_pt_19277046.wav,real,,,,,,,,,,
common_voice_pt_19277047.wav,real,,,,,,,,,,
common_voice_pt_19277048.wav,real,,,,,,,,,,
common_voice_pt_19277049.wav,real,,,,,,,,,,
common_voice_pt_19277050.wav,real,,,,,,,,,,
common_voice_pt_19277051.wav,real,,,,,,,,,,
common_voice_pt_19277052.wav,real,,,,,,,,,,
common_voice_pt_19277053.wav,real,,,,,,,,,,
common_voice_pt_19277054.wav,real,,,,,,,,,,
common_voice_pt_19277055.wav,real,,,,,,,,,,
common_voice_pt_19277056.wav,real,,,,,,,,,,
common_voice_pt_19277057.wav,real,,,,,,,,,,
common_voice_pt_19277058.wav,real,,,,,,,,,,
common_voice_pt_19277059.wav,real,,,,,,,,,,
common_voice_pt_19277060.wav,real,,,,,,,,,,
common_voice_pt_19277061.wav,real,,,,,,,,,,
common_voice_pt_19277062.wav,real,,,,,,,,,,
common_voice_pt_19277063.wav,real,,,,,,,,,,
common_voice_pt_19277064.wav,real,,,,,,,,,,
common_voice_pt_19277065.wav,real,,,,,,,,,,
common_voice_pt_19277066.wav,real,,,,,,,,,,
common_voice_pt_19277067.wav,real,,,,,,,,,,
common_voice_pt_19277068.wav,real,,,,,,,,,,
common_voice_pt_19277069.wav,real,,,,,,,,,,
common_voice_pt_19277070.wav,real,,,,,,,,,,
common_voice_pt_19277071.wav,real,,,,,,,,,,
common_voice_pt_19277072.wav,real,,,,,,,,,,
common_voice_pt_19277073.wav,real,,,,,,,,,,
common_voice_pt_19277074.wav,real,,,,,,,,,,
common_voice_pt_19277075.wav,real,,,,,,,,,,
common_voice_pt_19277076.wav,real,,,,,,,,,,
common_voice_pt_19277077.wav,real,,,,,,,,,,
common_voice_pt_19277078.wav,real,,,,,,,,,,
common_voice_pt_19277079.wav,real,,,,,,,,,,
common_voice_pt_19277080.wav,real,,,,,,,,,,
common_voice_pt_19277081.wav,real,,,,,,,,,,
common_voice_pt_19277082.wav,real,,,,,,,,,,
common_voice_pt_19277083.wav,real,,,,,,,,,,
common_voice_pt_19277084.wav,real,,,,,,,,,,
common_voice_pt_19277085.wav,real,,,,,,,,,,
common_voice_pt_19277086.wav,real,,,,,,,,,,
common_voice_pt_19277087.wav,real,,,,,,,,,,
common_voice_pt_19277088.wav,real,,,,,,,,,,
common_voice_pt_19277089.wav,real,,,,,,,,,,
common_voice_pt_19277090.wav,real,,,,,,,,,,
common_voice_pt_19277091.wav,real,,,,,,,,,,
common_voice_pt_19277092.wav,real,,,,,,,,,,
common_voice_pt_19277093.wav,real,,,,,,,,,,
common_voice_pt_19277094.wav,real,,,,,,,,,,
common_voice_pt_19277095.wav,real,,,,,,,,,,
common_voice_pt_19277096.wav,real,,,,,,,,,,
common_voice_pt_19277097.wav,real,,,,,,,,,,
common_voice_pt_19277098.wav,real,,,,,,,,,,
common_voice_pt_19277099.wav,real,,,,,,,,,,
common_voice_pt_19277101.wav,real,,,,,,,,,,
common_voice_pt_19277102.wav,real,,,,,,,,,,
common_voice_pt_19277103.wav,real,,,,,,,,,,
common_voice_pt_19277104.wav,real,,,,,,,,,,
common_voice_pt_19277105.wav,real,,,,,,,,,,
common_voice_pt_19277106.wav,real,,,,,,,,,,
common_voice_pt_19277107.wav,real,,,,,,,,,,
common_voice_pt_19277108.wav,real,,,,,,,,,,
common_voice_pt_19277109.wav,real,,,,,,,,,,
common_voice_pt_19277110.wav,real,,,,,,,,,,
common_voice_pt_19277111.wav,real,,,,,,,,,,
common_voice_pt_19277112.wav,real,,,,,,,,,,
common_voice_pt_19277113.wav,real,,,,,,,,,,
common_voice_pt_19277114.wav,real,,,,,,,,,,
common_voice_pt_19277115.wav,real,,,,,,,,,,
common_voice_pt_19277116.wav,real,,,,,,,,,,
common_voice_pt_19277117.wav,real,,,,,,,,,,
common_voice_pt_19277118.wav,real,,,,,,,,,,
common_voice_pt_19277119.wav,real,,,,,,,,,,
common_voice_pt_19277120.wav,real,,,,,,,,,,
common_voice_pt_19277121.wav,real,,,,,,,,,,
